#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Plagueborne;The Wicked Soul;2533274925208344;1131816;1162319;30503;50;912;962
2;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;841380;847081;5701;48;986;1034
3;NierlyCrazy;Nierly Crazy;2533274896685914;505518;508183;2665;46;464;510
4;Bugalugs214;bugalugs214;2535471084374195;565627;567827;2200;44;1300;1344
5;Akosii;Akosii;2533274876129944;416159;418269;2110;42;256;298
6;BrigadiersBlue;Brigadiers Blue;2533274916311937;124950;126950;2000;40;485;525
7;UnveiledArk;UnveiledArk;2533274934249959;488993;490585;1592;38;567;605
8;RoslindaleOne;RoslindaleOne;2594261035379451;411850;413275;1425;36;717;753
9;judge;judge;2533274802991000;489624;490889;1265;34;798;832
10;MasterLeePhD;Master Lee PhD;2533274793230093;438594;439839;1245;32;972;1004
11;SheepDip;Ryuukishi634;2533274841110750;467955;469115;1160;30;589;619
12;Mort;Mortaigne;2533274924850886;221698;222678;980;28;479;507
13;Sikamikanico;Sikamikanico;2599622463478870;150755;151695;940;26;102;128
14;FairyEmpire;baboy1337;2533274848211122;503736;504541;805;24;588;612
14;BeardoN7x;BeardoA7x;2533274924115209;140380;141185;805;24;220;244
16;CallMeCraig;matsze;2533274817036922;306697;307467;770;20;649;669
17;n0tjack;n0tjack;2533274808155558;236308;236963;655;18;858;876
18;DeusJabu;DeusJabu;2535431624153776;208665;209260;595;16;620;636
19;ShadowlessEdge;Shadowless Edge;2535418358478334;933891;934401;510;14;922;936
20;Chyld989;Chyld989;2533274824150207;510507;510977;470;12;413;425
21;MrZweistein;MrZweistein;2533274796780325;156840;157260;420;10;184;194
22;OneBadMutha;OneBadMutha;2728296738546254;69089;69464;375;8;112;120
23;BadMoodJones;Junglee91;2533275020457265;152928;153273;345;6;260;266
24;Scottish_Sin;Scottish Sin;2533274798575633;609994;610334;340;4;581;585
25;Knottian;Knottian;2533274805216213;242845;243163;318;2;128;130
26;BananaBox39;MaidenLOKO;2533274891998560;208689;208979;290;1;158;159
27;dscharles;dscharles;2533275014769270;84186;84471;285;1;200;201
28;low187;ShadowArceus5;2533274870566975;291336;291521;185;1;359;360
29;profjjj;profjjj;2533274829351135;158839;159019;180;1;59;60
30;Cyime;Cyime;2533274809898296;255660;255795;135;1;313;314
31;binarymelon;binarymelon;2533274792088847;37916;38046;130;1;141;142
32;APOPHIS1989;APOPHIS1989;2533274792861176;419092;419207;115;1;512;513
33;FunkyOne;Sir Funkified;2533274831236982;266268;266380;112;1;276;277
34;Xumbrega;ctZz1;2533274892320729;163049;163149;100;1;75;76
34;TheSlickTony;TheSlickTony;2533275010815429;125933;126033;100;1;148;149
36;dfunktjester;dFunkt jestEr;2533274829581469;130953;131038;85;1;180;181
37;PhantomFox;PhantomFox75-460;2535436728258152;80477;80537;60;1;33;34
38;Running_Riot;BoutTreeFidy-208;2535457582061110;56630;56660;30;1;36;37
39;BigM_Milk4;BigMMilk-9208;2533274975549845;55449;55459;10;1;154;155
40;Mark3;Mark 3;2533274791777168;191150;191150;0;0;61;61
40;michael;Rngesus37;2535419776788793;47047;47047;0;0;101;101
40;Kreten;Cro Kreten;2690766741657668;278273;278273;0;0;32;32
40;DanCasual;SR1 Dan;2533274803840524;220331;220331;0;0;12;12
40;MMarfil;MMarfil;2533274884719422;109231;109231;0;0;27;27
40;Shadowgasm;Shadowgasm;2736338880739054;425330;425330;0;0;208;208
40;TheSego;The Sego;2533274801846949;163674;163674;0;0;107;107
40;Zonky;Zonky;2535470751963594;165575;165575;0;0;6;6
40;xJavontax;xJavontax;2533274819674251;52278;52278;0;0;32;32
40;Darthvader2795;Darthvader2795;2535442004967288;78476;78476;0;0;85;85
40;supercommodore;supercommodore;2533274982646378;38632;38632;0;0;63;63
40;TangHao;Amir-8983;2535432952508207;79350;79350;0;0;228;228
40;Foorbits;Foorbits;2624419068575218;51238;51238;0;0;2;2
40;Neuro;Thhh gtt-8082;2535406877444637;975;975;0;0;7;7
40;brunopcosta1;brunopcosta1;2535437287890796;288573;288573;0;0;2;2
40;Bluehawk357;BlueHawk357;2533274876723326;129893;129893;0;0;0;0
