#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;SheepDip;Ryuukishi634;2533274841110750;563830;566385;2555;50;458;508
2;Chyld989;Chyld989;2533274824150207;605660;607755;2095;48;328;376
3;APOPHIS1989;APOPHIS1989;2533274792861176;692517;693757;1240;46;120;166
4;dscharles;dscharles;2533275014769270;111395;112540;1145;44;280;324
5;n0tjack;n0tjack;2533274808155558;295341;296471;1130;42;404;446
6;Shadowgasm;Shadowgasm;2736338880739054;456394;457264;870;40;496;536
7;OneBadMutha;OneBadMutha;2728296738546254;81969;82489;520;38;146;184
8;FairyEmpire;baboy1337;2533274848211122;676691;677156;465;36;360;396
9;Akosii;Akosii;2533274876129944;490258;490658;400;34;372;406
10;Plagueborne;The Wicked Soul;2533274925208344;1691620;1692005;385;32;376;408
11;ShadowlessEdge;ShadowlessAU;2535418358478334;1137507;1137857;350;30;284;314
12;low187;ShadowArceus5;2533274870566975;317151;317436;285;28;220;248
13;CallMeCraig;matsze;2533274817036922;412942;413177;235;26;302;328
14;RoslindaleOne;RoslindaleOne;2594261035379451;448870;449065;195;24;270;294
15;NierlyCrazy;Nierly Crazy;2533274896685914;645168;645358;190;22;250;272
16;Mort;Mortaigne;2533274924850886;284053;284223;170;20;464;484
17;SilentJay76;SilentJay76;2533274902322618;522082;522232;150;18;250;268
18;Knottian;Knottian;2533274805216213;292105;292230;125;16;342;358
18;PhantomFox;PhantomFox75-460;2535436728258152;94100;94225;125;16;19;35
20;BeardoN7x;BeardoA7x;2533274924115209;159639;159759;120;12;8;20
21;BadMoodJones;Junglee91;2533275020457265;175211;175271;60;10;125;135
22;MMarfil;MMarfil;2533274884719422;117033;117053;20;8;115;123
23;J_F0LEY;J F0LEY;2533274910784399;118493;118493;0;0;274;274
23;Colbert;MrZweistein;2533274796780325;187915;187915;0;0;180;180
23;Sikamikanico;Sikamikanico;2599622463478870;176793;176793;0;0;128;128
23;supercommodore;supercommodore;2533274982646378;43385;43385;0;0;7;7
23;TangHao;Amir-8983;2535432952508207;99432;99432;0;0;42;42
23;MasterLeePhD;Master Lee PhD;2533274793230093;553118;553118;0;0;45;45
23;Mark3;Mark 3;2533274791777168;199175;199175;0;0;30;30
23;BigM_Milk4;BigMMilk-9208;2533274975549845;74244;74244;0;0;9;9
23;profjjj;profjjj;2533274829351135;174550;174550;0;0;7;7
23;TheSlickTony;TheSlickTony;2533275010815429;151038;151038;0;0;126;126
23;TheAshCohen09;TheAshCohen09;2533274856167909;330931;330931;0;0;144;144
23;TheSego;The Sego;2533274801846949;172175;172175;0;0;28;28
23;binarymelon;binarymelon;2533274792088847;66786;66786;0;0;19;19
23;DeusJabu;DeusJabu;2535431624153776;249240;249240;0;0;13;13
23;Bugalugs214;bugalugs214;2535471084374195;608755;608755;0;0;0;0
