#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;SheepDip;Ryuukishi634;2533274841110750;568065;569265;1200;50;556;606
2;Mort;Mortaigne;2533274924850886;284358;285423;1065;48;508;556
3;SilentJay76;SilentJay76;2533274902322618;522592;523592;1000;46;300;346
4;APOPHIS1989;APOPHIS1989;2533274792861176;694762;695737;975;44;210;254
5;J_F0LEY;J F0LEY;2533274910784399;119478;120383;905;42;316;358
6;Shadowgasm;Shadowgasm;2736338880739054;459936;460837;901;40;586;626
7;Chyld989;Chyld989;2533274824150207;608585;609450;865;38;416;454
8;dscharles;dscharles;2533275014769270;113355;114015;660;36;362;398
9;Akosii;Akosii;2533274876129944;490828;491443;615;34;432;466
10;Plagueborne;The Wicked Soul;2533274925208344;1692565;1693160;595;32;444;476
11;ShadowlessEdge;ShadowlessAU;2535418358478334;1138312;1138827;515;30;348;378
11;Sikamikanico;Sikamikanico;2599622463478870;176793;177308;515;30;128;158
13;Knottian;Knottian;2533274805216213;292260;292535;275;26;378;404
14;FairyEmpire;baboy1337;2533274848211122;677476;677731;255;24;426;450
15;RoslindaleOne;RoslindaleOne;2594261035379451;449160;449265;105;22;316;338
16;PhantomFox;PhantomFox75-460;2535436728258152;94255;94350;95;20;55;75
17;n0tjack;n0tjack;2533274808155558;296471;296541;70;18;446;464
18;BadMoodJones;Junglee91;2533275020457265;175271;175321;50;16;135;151
19;BeardoN7x;BeardoA7x;2533274924115209;159759;159774;15;14;20;34
20;MMarfil;MMarfil;2533274884719422;117063;117068;5;12;139;151
21;CallMeCraig;matsze;2533274817036922;414527;414527;0;0;374;374
21;low187;ShadowArceus5;2533274870566975;317681;317681;0;0;276;276
21;OneBadMutha;OneBadMutha;2728296738546254;82489;82489;0;0;184;184
21;NierlyCrazy;Nierly Crazy;2533274896685914;645358;645358;0;0;272;272
21;Colbert;MrZweistein;2533274796780325;187915;187915;0;0;180;180
21;supercommodore;supercommodore;2533274982646378;43385;43385;0;0;7;7
21;TangHao;Amir-8983;2535432952508207;99432;99432;0;0;42;42
21;MasterLeePhD;Master Lee PhD;2533274793230093;553118;553118;0;0;45;45
21;Mark3;Mark 3;2533274791777168;199175;199175;0;0;30;30
21;BigM_Milk4;BigMMilk-9208;2533274975549845;74244;74244;0;0;9;9
21;profjjj;profjjj;2533274829351135;174550;174550;0;0;7;7
21;TheSlickTony;TheSlickTony;2533275010815429;151038;151038;0;0;126;126
21;TheAshCohen09;TheAshCohen09;2533274856167909;330931;330931;0;0;144;144
21;TheSego;The Sego;2533274801846949;172175;172175;0;0;28;28
21;binarymelon;binarymelon;2533274792088847;66786;66786;0;0;19;19
21;DeusJabu;DeusJabu;2535431624153776;249240;249240;0;0;13;13
21;Bugalugs214;bugalugs214;2535471084374195;608755;608755;0;0;0;0
