#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;ShadowlessEdge;ShadowlessAU;2535418358478334;1074254;1077417;3163;50;336;386
2;APOPHIS1989;APOPHIS1989;2533274792861176;648281;649881;1600;48;288;336
3;MasterLeePhD;Master Lee PhD;2533274793230093;530808;531993;1185;46;346;392
4;FairyEmpire;baboy1337;2533274848211122;612295;613160;865;44;304;348
5;Plagueborne;The Wicked Soul;2533274925208344;1501061;1501861;800;42;206;248
6;SilentJay76;SilentJay76;2533274902322618;505397;505977;580;40;134;174
7;Akosii;Akosii;2533274876129944;461336;461861;525;38;258;296
8;SheepDip;Ryuukishi634;2533274841110750;528930;529410;480;36;316;352
8;TheSlickTony;TheSlickTony;2533275010815429;139013;139493;480;36;194;230
10;RoslindaleOne;RoslindaleOne;2594261035379451;441515;441885;370;32;190;222
11;binarymelon;binarymelon;2533274792088847;62336;62701;365;30;210;240
12;CallMeCraig;matsze;2533274817036922;379008;379353;345;28;184;212
13;Scottish_Sin;Scottish Sin;2533274798575633;646544;646784;240;26;125;151
14;Chyld989;Chyld989;2533274824150207;580895;581105;210;24;320;344
15;dfunktjester;dFunkt jestEr;2533274829581469;145232;145417;185;22;64;86
16;dscharles;dscharles;2533275014769270;98020;98185;165;20;39;59
16;profjjj;profjjj;2533274829351135;171975;172140;165;20;164;184
18;BigM_Milk4;BigMMilk-9208;2533274975549845;72639;72779;140;16;3;19
19;Bugalugs214;bugalugs214;2535471084374195;604760;604855;95;14;107;121
20;DeusJabu;DeusJabu;2535431624153776;242875;242965;90;12;214;226
21;Mort;Mortaigne;2533274924850886;260553;260633;80;10;19;29
22;n0tjack;n0tjack;2533274808155558;266249;266324;75;8;31;39
23;supercommodore;supercommodore;2533274982646378;42225;42280;55;6;0;6
24;Knottian;Knottian;2533274805216213;276900;276950;50;4;220;224
25;low187;ShadowArceus5;2533274870566975;307026;307066;40;2;76;78
26;TheAshCohen09;TheAshCohen09;2533274856167909;284371;284401;30;1;198;199
27;Sikamikanico;Sikamikanico;2599622463478870;164386;164411;25;1;47;48
28;BrigadiersBlue;Brigadiers Blue;2533274916311937;189400;189420;20;1;139;140
29;MMarfil;MMarfil;2533274884719422;114458;114473;15;1;42;43
29;Mark3;Mark 3;2533274791777168;196585;196600;15;1;30;31
31;MrZweistein;MrZweistein;2533274796780325;176470;176470;0;0;101;101
31;PhantomFox;PhantomFox75-460;2535436728258152;89239;89239;0;0;122;122
31;OneBadMutha;OneBadMutha;2728296738546254;78099;78099;0;0;72;72
31;BananaBox39;MaidenLOKO;2533274891998560;213783;213783;0;0;12;12
31;TangHao;Amir-8983;2535432952508207;89522;89522;0;0;3;3
31;BeardoN7x;BeardoA7x;2533274924115209;149569;149569;0;0;0;0
31;BadMoodJones;Junglee91;2533275020457265;172366;172366;0;0;5;5
31;NierlyCrazy;Nierly Crazy;2533274896685914;602930;602930;0;0;50;50
31;Shadowgasm;Shadowgasm;2736338880739054;439560;439560;0;0;0;0
31;TheSego;The Sego;2533274801846949;169910;169910;0;0;0;0
