#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;617594;620044;2450;10;863;873
2;APOPHIS1989;APOPHIS1989;2533274792861176;301475;303720;2245;9;10;19
3;Shadowgasm;Shadowgasm;2736338880739054;312725;314945;2220;8;1238;1246
4;MasterLeePhD;Master Lee PhD;2533274793230093;313484;314214;730;7;531;538
5;Chyld989;Chyld989;2533274824150207;374155;374875;720;6;753;759
6;SheepDip;Ryuukishi634;2533274841110750;371130;371735;605;5;287;292
7;brunopcosta1;brunopcosta1;2535437287890796;237635;238210;575;4;1083;1087
8;MrZweistein;MrZweistein;2533274796780325;130930;131465;535;3;0;3
9;FunkyOne;Sir Funkified;2533274831236982;237212;237662;450;2;10;12
10;Bugalugs214;bugalugs214;2535471084374195;126825;127260;435;1;0;1
11;PhantomFox;PhantomFox75-460;2535436728258152;54927;55352;425;0;115;115
12;FairyEmpire;baboy1337;2533274848211122;392735;393105;370;0;899;899
13;BeardoN7x;BeardoA7x;2533274924115209;89500;89825;325;0;424;424
14;CRZYSPZ;CRZYSPZ;2533274896685914;409535;409855;320;0;541;541
15;dscharles;dscharles;2533275014769270;59096;59336;240;0;17;17
16;BrigadiersBlue;Brigadiers Blue;2533274916311937;65678;65913;235;0;158;158
17;CallMeCraig;matsze;2533274817036922;213796;214026;230;0;345;345
17;Scottish_Sin;Scottish Sin;2533274798575633;540685;540915;230;0;371;371
19;TheSego;The Sego;2533274801846949;149443;149648;205;0;100;100
20;Mort;Mortaigne;2533274924850886;148192;148387;195;0;358;358
21;Xumbrega;ctZz1;2533274892320729;152805;152985;180;0;0;0
22;Knottian;Knottian;2533274805216213;211081;211216;135;0;0;0
22;xJavontax;xJavontax;2533274819674251;44306;44441;135;0;17;17
24;TheSlickTony;TheSlickTony;2533275010815429;105868;105998;130;0;10;10
25;Akosii;Akosii;2533274876129944;334510;334620;110;0;371;371
26;BananaBox39;MaidenLOKO;2533274891998560;185500;185605;105;0;0;0
26;Sikamikanico;Sikamikanico;2599622463478870;125578;125683;105;0;3;3
28;supercommodore;supercommodore;2533274982646378;21862;21942;80;0;4;4
29;MMarfil;MMarfil;2533274884719422;102644;102719;75;0;122;122
30;n0tjack;n0tjack;2533274808155558;166182;166252;70;0;327;327
31;dfunktjester;dFunkt jestEr;2533274829581469;107552;107612;60;0;4;4
31;Running_Riot;BoutTreeFidy-208;2535457582061110;38775;38835;60;0;1;1
33;low187;ShadowArceus5;2533274870566975;230490;230545;55;0;169;169
33;Plagueborne;The Wicked Soul;2533274925208344;851257;851312;55;0;1078;1078
35;DeusJabu;DeusJabu;2535431624153776;160859;160909;50;0;0;0
36;BadMoodJones;Junglee91;2533275020457265;103541;103581;40;0;359;359
37;OneBadMutha;OneBadMutha;2728296738546254;49768;49768;0;0;0;0
37;Bluehawk357;BlueHawk357;2533274876723326;112143;112143;0;0;54;54
37;Foorbits;Foorbits;2624419068575218;48848;48848;0;0;2;2
