#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;NierlyCrazy;Nierly Crazy;2533274896685914;623073;631893;8820;50;194;244
2;CallMeCraig;matsze;2533274817036922;389333;396548;7215;48;222;270
3;ShadowlessEdge;ShadowlessAU;2535418358478334;1113371;1120221;6850;46;180;226
4;TheAshCohen09;TheAshCohen09;2533274856167909;300636;306286;5650;44;90;134
5;FairyEmpire;baboy1337;2533274848211122;636997;642002;5005;42;122;164
6;Plagueborne;The Wicked Soul;2533274925208344;1528631;1533521;4890;40;160;200
7;Akosii;Akosii;2533274876129944;471346;475151;3805;38;126;164
8;APOPHIS1989;APOPHIS1989;2533274792861176;672753;676193;3440;36;131;167
9;Sikamikanico;Sikamikanico;2599622463478870;167343;169958;2615;34;130;164
10;dscharles;dscharles;2533275014769270;102245;104630;2385;32;162;194
11;n0tjack;n0tjack;2533274808155558;276059;278379;2320;30;172;202
12;SilentJay76;SilentJay76;2533274902322618;514272;516287;2015;28;128;156
13;MrZweistein;MrZweistein;2533274796780325;180575;181905;1330;26;88;114
14;Chyld989;Chyld989;2533274824150207;592100;593280;1180;24;84;108
15;MasterLeePhD;Master Lee PhD;2533274793230093;544374;545489;1115;22;92;114
16;PhantomFox;PhantomFox75-460;2535436728258152;91909;92909;1000;20;40;60
17;Scottish_Sin;Scottish Sin;2533274798575633;657224;658064;840;18;46;64
18;Knottian;Knottian;2533274805216213;281910;282715;805;16;90;106
19;SheepDip;Ryuukishi634;2533274841110750;541425;542210;785;14;124;138
19;Mort;Mortaigne;2533274924850886;264283;265068;785;14;82;96
21;low187;ShadowArceus5;2533274870566975;312856;313381;525;10;70;80
22;profjjj;profjjj;2533274829351135;173830;174305;475;8;42;50
23;TheSlickTony;TheSlickTony;2533275010815429;143318;143783;465;6;44;50
24;binarymelon;binarymelon;2533274792088847;65951;66326;375;4;58;62
25;RoslindaleOne;RoslindaleOne;2594261035379451;443890;444240;350;2;49;51
26;dfunktjester;dFunkt jestEr;2533274829581469;146452;146732;280;1;58;59
27;MMarfil;MMarfil;2533274884719422;115868;116028;160;1;30;31
28;BadMoodJones;Junglee91;2533275020457265;173201;173311;110;1;8;9
29;OneBadMutha;OneBadMutha;2728296738546254;79759;79859;100;1;20;21
30;BigM_Milk4;BigMMilk-9208;2533274975549845;74119;74194;75;1;14;15
31;DeusJabu;DeusJabu;2535431624153776;247535;247605;70;1;16;17
32;BeardoN7x;BeardoA7x;2533274924115209;159124;159169;45;1;5;6
33;Bugalugs214;bugalugs214;2535471084374195;607435;607455;20;1;50;51
33;Mark3;Mark 3;2533274791777168;198560;198580;20;1;1;2
35;Shadowgasm;Shadowgasm;2736338880739054;443400;443400;0;0;0;0
35;TangHao;Amir-8983;2535432952508207;97502;97502;0;0;0;0
35;BrigadiersBlue;Brigadiers Blue;2533274916311937;195060;195060;0;0;0;0
35;TheSego;The Sego;2533274801846949;171925;171925;0;0;0;0
35;supercommodore;supercommodore;2533274982646378;42435;42435;0;0;0;0
35;BananaBox39;MaidenLOKO;2533274891998560;213783;213783;0;0;0;0
