#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Plagueborne;The Wicked Soul;2533274925208344;785492;806202;20710;10;948;958
2;Shadowgasm;Shadowgasm;2736338880739054;295025;302680;7655;9;1024;1033
3;Scottish_Sin;Scottish Sin;2533274798575633;530220;536575;6355;8;296;304
4;brunopcosta1;brunopcosta1;2535437287890796;226100;229935;3835;7;982;989
5;MMarfil;MMarfil;2533274884719422;97904;101474;3570;6;116;122
6;APOPHIS1989;APOPHIS1989;2533274792861176;296923;299328;2405;5;5;10
7;SheepDip;Ryuukishi634;2533274841110750;363310;365375;2065;4;246;250
8;CallMeCraig;matsze;2533274817036922;210904;212920;2016;3;342;345
9;CRZYSPZ;CRZYSPZ;2533274896685914;402670;404140;1470;2;507;509
10;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;613564;614399;835;1;860;861
11;FairyEmpire;baboy1337;2533274848211122;383105;383935;830;0;832;832
12;Akosii;Akosii;2533274876129944;329320;330100;780;0;362;362
13;xJavontax;xJavontax;2533274819674251;41559;42319;760;0;17;17
14;BeardoN7x;BeardoA7x;2533274924115209;88330;89000;670;0;424;424
15;OneBadMutha;OneBadMutha;2728296738546254;48028;48638;610;0;0;0
16;Knottian;Knottian;2533274805216213;209415;209970;555;0;0;0
17;BadMoodJones;Junglee91;2533275020457265;97866;98391;525;0;341;341
17;TheSego;The Sego;2533274801846949;148098;148623;525;0;100;100
19;TheSlickTony;TheSlickTony;2533275010815429;103888;104248;360;0;8;8
20;Mort;Mortaigne;2533274924850886;147542;147857;315;0;358;358
20;Bluehawk357;BlueHawk357;2533274876723326;111653;111968;315;0;54;54
22;FunkyOne;Sir Funkified;2533274831236982;234502;234807;305;0;4;4
23;supercommodore;supercommodore;2533274982646378;20502;20777;275;0;4;4
24;BrigadiersBlue;Brigadiers Blue;2533274916311937;54853;55113;260;0;0;0
25;MrZweistein;MrZweistein;2533274796780325;129585;129830;245;0;0;0
26;n0tjack;n0tjack;2533274808155558;165427;165662;235;0;327;327
27;dscharles;dscharles;2533275014769270;57715;57945;230;0;17;17
28;Sikamikanico;Sikamikanico;2599622463478870;125113;125323;210;0;3;3
29;Chyld989;Chyld989;2533274824150207;361780;361985;205;0;563;563
30;DeusJabu;DeusJabu;2535431624153776;159779;159979;200;0;0;0
31;MasterLeePhD;Master Lee PhD;2533274793230093;310089;310269;180;0;524;524
32;low187;ShadowArceus5;2533274870566975;228190;228345;155;0;168;168
33;Running_Riot;BoutTreeFidy-208;2535457582061110;37975;38120;145;0;1;1
34;dfunktjester;dFunkt jestEr;2533274829581469;106977;107087;110;0;4;4
35;PhantomFox;PhantomFox75-460;2535436728258152;53752;53832;80;0;115;115
36;Bugalugs214;bugalugs214;2535471084374195;125945;125990;45;0;0;0
37;Xumbrega;ctZz1;2533274892320729;151625;151665;40;0;0;0
38;BananaBox39;MaidenLOKO;2533274891998560;184635;184635;0;0;0;0
38;Foorbits;Foorbits;2624419068575218;48848;48848;0;0;2;2
