#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Plagueborne;The Wicked Soul;2533274925208344;1475806;1480526;4720;50;762;812
2;APOPHIS1989;APOPHIS1989;2533274792861176;601457;604067;2610;48;844;892
3;FairyEmpire;baboy1337;2533274848211122;587771;589981;2210;46;269;315
4;ShadowlessEdge;Shadowless Edge;2535418358478334;1044131;1045466;1335;44;602;646
5;NierlyCrazy;Nierly Crazy;2533274896685914;593766;594951;1185;42;612;654
6;Chyld989;Chyld989;2533274824150207;563155;564280;1125;40;450;490
7;CallMeCraig;matsze;2533274817036922;367313;368293;980;38;604;642
8;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;997125;997900;775;36;631;667
9;n0tjack;n0tjack;2533274808155558;262145;262815;670;34;220;254
10;DanCasual;SR1 Dan;2533274803840524;232691;233131;440;32;23;55
11;RoslindaleOne;RoslindaleOne;2594261035379451;432180;432557;377;30;278;308
12;low187;ShadowArceus5;2533274870566975;304033;304373;340;28;193;221
13;TheSlickTony;TheSlickTony;2533275010815429;133818;134148;330;26;51;77
14;binarymelon;binarymelon;2533274792088847;57726;57986;260;24;233;257
14;Akosii;Akosii;2533274876129944;447881;448141;260;24;464;488
16;MasterLeePhD;Master Lee PhD;2533274793230093;514084;514324;240;20;472;492
17;SheepDip;Ryuukishi634;2533274841110750;517040;517270;230;18;318;336
18;Bugalugs214;bugalugs214;2535471084374195;602485;602695;210;16;205;221
18;Scottish_Sin;Scottish Sin;2533274798575633;638889;639099;210;16;360;376
20;Mort;Mortaigne;2533274924850886;257313;257513;200;12;597;609
21;OneBadMutha;OneBadMutha;2728296738546254;75694;75834;140;10;72;82
22;Knottian;Knottian;2533274805216213;267024;267159;135;8;390;398
23;BigM_Milk4;BigMMilk-9208;2533274975549845;72024;72114;90;6;204;210
24;SilentJay76;SilentJay76;2533274902322618;501232;501312;80;4;480;484
25;Sikamikanico;Sikamikanico;2599622463478870;161722;161792;70;2;163;165
26;FunkyOne;Sir Funkified;2533274831236982;280091;280151;60;1;129;130
26;Kreten;Cro Kreten;2690766741657668;285528;285588;60;1;26;27
28;TheAshCohen09;TheAshCohen09;2533274856167909;276676;276721;45;1;466;467
28;Xumbrega;ctZz1;2533274892320729;166744;166789;45;1;2;3
30;DeusJabu;DeusJabu;2535431624153776;235895;235935;40;1;235;236
30;UnveiledArk;UnveiledArk;2533274934249959;546990;547030;40;1;122;123
32;dscharles;dscharles;2533275014769270;95955;95985;30;1;112;113
32;TangHao;Amir-8983;2535432952508207;88727;88757;30;1;2;3
34;MMarfil;MMarfil;2533274884719422;113598;113603;5;1;25;26
35;BadMoodJones;Junglee91;2533275020457265;170511;170511;0;0;107;107
35;Mark3;Mark 3;2533274791777168;195325;195325;0;0;31;31
35;dfunktjester;dFunkt jestEr;2533274829581469;143457;143457;0;0;34;34
35;MrZweistein;MrZweistein;2533274796780325;173615;173615;0;0;9;9
35;judge;judge;2533274802991000;543719;543719;0;0;252;252
35;BeardoN7x;BeardoA7x;2533274924115209;149194;149194;0;0;72;72
35;profjjj;profjjj;2533274829351135;168175;168175;0;0;65;65
35;Running_Riot;BoutTreeFidy-208;2535457582061110;62185;62185;0;0;30;30
35;PhantomFox;PhantomFox75-460;2535436728258152;85999;85999;0;0;50;50
35;BrigadiersBlue;Brigadiers Blue;2533274916311937;187140;187140;0;0;480;480
35;TheSego;The Sego;2533274801846949;169735;169735;0;0;7;7
35;xJavontax;xJavontax;2533274819674251;53643;53643;0;0;2;2
35;BananaBox39;MaidenLOKO;2533274891998560;213683;213683;0;0;2;2
35;Shadowgasm;Shadowgasm;2736338880739054;439560;439560;0;0;75;75
35;Foorbits;Foorbits;2624419068575218;52428;52428;0;0;0;0
35;brunopcosta1;brunopcosta1;2535437287890796;289213;289213;0;0;0;0
35;supercommodore;supercommodore;2533274982646378;42100;42100;0;0;0;0
35;michael;Rngesus37;2535419776788793;50287;50287;0;0;0;0
