#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;ShadowlessEdge;Shadowless Edge;2535418358478334;590338;603578;13240;50;0;50
2;UnveiledArk;UnveiledArk;2533274934249959;352945;357825;4880;48;0;48
3;Zonky;Zonky;2535470751963594;53070;57415;4345;46;0;46
4;BeardoN7x;BeardoA7x;2533274924115209;90480;94812;4332;44;0;44
5;Shadowgasm;Shadowgasm;2736338880739054;329700;334030;4330;42;0;42
6;SheepDip;Ryuukishi634;2533274841110750;376565;378690;2125;40;0;40
7;Chyld989;Chyld989;2533274824150207;382465;384480;2015;38;0;38
8;CallMeCraig;matsze;2533274817036922;222681;224656;1975;36;0;36
9;BadMoodJones;Junglee91;2533275020457265;109861;111706;1845;34;0;34
10;MasterLeePhD;Master Lee PhD;2533274793230093;323884;325684;1800;32;0;32
11;PhantomFox;PhantomFox75-460;2535436728258152;60272;61622;1350;30;0;30
12;FairyEmpire;baboy1337;2533274848211122;407140;408430;1290;28;0;28
13;Plagueborne;The Wicked Soul;2533274925208344;857432;858592;1160;26;0;26
14;Bugalugs214;bugalugs214;2535471084374195;128145;128940;795;24;0;24
15;n0tjack;n0tjack;2533274808155558;174216;175006;790;22;0;22
16;brunopcosta1;brunopcosta1;2535437287890796;252383;253148;765;20;0;20
17;APOPHIS1989;APOPHIS1989;2533274792861176;311508;312143;635;18;0;18
17;OneBadMutha;OneBadMutha;2728296738546254;50643;51278;635;18;0;18
19;dfunktjester;dFunkt jestEr;2533274829581469;108647;109222;575;14;0;14
20;BananaBox39;MaidenLOKO;2533274891998560;186820;187330;510;12;0;12
21;profjjj;profjjj;2533274829351135;105372;105837;465;10;0;10
22;Running_Riot;BoutTreeFidy-208;2535457582061110;40380;40840;460;8;0;8
23;Mort;Mortaigne;2533274924850886;151837;152287;450;6;0;6
24;Akosii;Akosii;2533274876129944;341655;342065;410;4;0;4
25;Sikamikanico;Sikamikanico;2599622463478870;128188;128568;380;2;0;2
26;dscharles;dscharles;2533275014769270;62756;63086;330;1;0;1
27;Scottish_Sin;Scottish Sin;2533274798575633;542915;543235;320;1;0;1
28;supercommodore;supercommodore;2533274982646378;23202;23517;315;1;0;1
29;MMarfil;MMarfil;2533274884719422;103359;103654;295;1;0;1
30;TheSego;The Sego;2533274801846949;151278;151569;291;1;0;1
31;FunkyOne;Sir Funkified;2533274831236982;239625;239890;265;1;0;1
32;Knottian;Knottian;2533274805216213;212731;212951;220;1;0;1
33;xJavontax;xJavontax;2533274819674251;46421;46636;215;1;0;1
34;low187;ShadowArceus5;2533274870566975;232900;233105;205;1;0;1
35;Xumbrega;ctZz1;2533274892320729;154000;154135;135;1;0;1
36;DeusJabu;DeusJabu;2535431624153776;162464;162594;130;1;0;1
37;TheSlickTony;TheSlickTony;2533275010815429;108083;108173;90;1;0;1
38;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;636120;636180;60;1;0;1
39;CRZYSPZ;CRZYSPZ;2533274896685914;410870;410895;25;1;0;1
39;Bluehawk357;BlueHawk357;2533274876723326;112143;112168;25;1;0;1
41;Foorbits;Foorbits;2624419068575218;49098;49098;0;0;0;0
41;MrZweistein;MrZweistein;2533274796780325;131695;131695;0;0;0;0
41;BrigadiersBlue;Brigadiers Blue;2533274916311937;67598;67598;0;0;0;0
41;judge;judge;2533274802991000;403575;403575;0;0;0;0
