#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;TheAshCohen09;TheAshCohen09;2533274856167909;193474;198269;4795;50;201;251
2;APOPHIS1989;APOPHIS1989;2533274792861176;448580;450120;1540;48;807;855
2;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;893024;894564;1540;48;1240;1288
4;TangHao;Amir-8983;2535432952508207;85242;86697;1455;44;165;209
5;judge;judge;2533274802991000;526434;527534;1100;42;1058;1100
6;SilentJay76;SilentJay76;2533274902322618;466432;467432;1000;40;96;136
6;UnveiledArk;UnveiledArk;2533274934249959;512575;513575;1000;40;733;773
8;ShadowlessEdge;Shadowless Edge;2535418358478334;990996;991781;785;36;1289;1325
9;SheepDip;Ryuukishi634;2533274841110750;488255;488925;670;34;898;932
10;Knottian;Knottian;2533274805216213;251363;252018;655;32;546;578
11;MasterLeePhD;Master Lee PhD;2533274793230093;467714;468304;590;30;864;894
12;Plagueborne;The Wicked Soul;2533274925208344;1278441;1278966;525;28;1202;1230
13;BadMoodJones;Junglee91;2533275020457265;162003;162508;505;26;264;290
14;CallMeCraig;matsze;2533274817036922;335968;336393;425;24;1241;1265
15;Scottish_Sin;Scottish Sin;2533274798575633;623029;623342;313;22;702;724
16;NierlyCrazy;Nierly Crazy;2533274896685914;530913;531223;310;20;759;779
17;dfunktjester;dFunkt jestEr;2533274829581469;141596;141886;290;18;503;521
18;DanCasual;SR1 Dan;2533274803840524;221266;221551;285;16;33;49
19;FunkyOne;Sir Funkified;2533274831236982;270710;270965;255;14;260;274
20;MrZweistein;MrZweistein;2533274796780325;162770;162965;195;12;231;243
21;profjjj;profjjj;2533274829351135;162524;162704;180;10;343;353
22;low187;ShadowArceus5;2533274870566975;295863;296018;155;8;219;227
23;RoslindaleOne;RoslindaleOne;2594261035379451;420200;420335;135;6;247;253
24;supercommodore;supercommodore;2533274982646378;41190;41315;125;4;141;145
25;PhantomFox;PhantomFox75-460;2535436728258152;83172;83292;120;2;117;119
26;Chyld989;Chyld989;2533274824150207;536165;536265;100;1;1129;1130
26;OneBadMutha;OneBadMutha;2728296738546254;72279;72379;100;1;229;230
28;FairyEmpire;baboy1337;2533274848211122;527354;527439;85;1;787;788
29;Running_Riot;BoutTreeFidy-208;2535457582061110;58310;58375;65;1;50;51
29;binarymelon;binarymelon;2533274792088847;45831;45896;65;1;420;421
31;BeardoN7x;BeardoA7x;2533274924115209;142710;142764;54;1;57;58
32;Shadowgasm;Shadowgasm;2736338880739054;432260;432280;20;1;312;313
32;TheSego;The Sego;2533274801846949;166199;166219;20;1;99;100
32;michael;Rngesus37;2535419776788793;49187;49207;20;1;84;85
32;Sikamikanico;Sikamikanico;2599622463478870;154925;154945;20;1;235;236
32;BananaBox39;MaidenLOKO;2533274891998560;212924;212944;20;1;219;220
32;Kreten;Cro Kreten;2690766741657668;279748;279768;20;1;68;69
38;MMarfil;MMarfil;2533274884719422;110891;110906;15;1;28;29
38;DeusJabu;DeusJabu;2535431624153776;224465;224480;15;1;822;823
40;Akosii;Akosii;2533274876129944;428286;428291;5;1;500;501
40;Bugalugs214;bugalugs214;2535471084374195;599925;599930;5;1;559;560
40;xJavontax;xJavontax;2533274819674251;52358;52363;5;1;4;5
43;BrigadiersBlue;Brigadiers Blue;2533274916311937;155610;155610;0;0;949;949
43;Zonky;Zonky;2535470751963594;166275;166275;0;0;43;43
43;dscharles;dscharles;2533275014769270;89426;89426;0;0;290;290
43;Foorbits;Foorbits;2624419068575218;52068;52068;0;0;57;57
43;TheSlickTony;TheSlickTony;2533275010815429;129478;129478;0;0;86;86
43;BigM_Milk4;BigMMilk-9208;2533274975549845;68309;68309;0;0;266;266
43;Mort;Mortaigne;2533274924850886;234413;234413;0;0;508;508
43;n0tjack;n0tjack;2533274808155558;246358;246358;0;0;578;578
43;Xumbrega;ctZz1;2533274892320729;163714;163714;0;0;15;15
43;Mark3;Mark 3;2533274791777168;192745;192745;0;0;75;75
43;brunopcosta1;brunopcosta1;2535437287890796;289198;289198;0;0;17;17
43;Cyime;Cyime;2533274809898296;257380;257380;0;0;82;82
43;Darthvader2795;Darthvader2795;2535442004967288;78721;78721;0;0;0;0
43;Neuro;Thhh gtt-8082;2535406877444637;975;975;0;0;0;0
