#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Shadowgasm;Shadowgasm;2736338880739054;448850;450590;1740;50;82;132
2;FairyEmpire;baboy1337;2533274848211122;674096;675171;1075;48;88;136
3;Mort;Mortaigne;2533274924850886;278163;279068;905;46;72;118
4;SheepDip;Ryuukishi634;2533274841110750;557110;557905;795;44;56;100
5;Akosii;Akosii;2533274876129944;486366;486926;560;42;68;110
6;Knottian;Knottian;2533274805216213;290200;290720;520;40;60;100
7;SilentJay76;SilentJay76;2533274902322618;520922;521327;405;38;74;112
8;J_F0LEY;J F0LEY;2533274910784399;116508;116903;395;36;18;54
9;n0tjack;n0tjack;2533274808155558;291129;291424;295;34;66;100
10;low187;ShadowArceus5;2533274870566975;316446;316716;270;32;56;88
11;BadMoodJones;Junglee91;2533275020457265;174951;175171;220;30;50;80
12;Sikamikanico;Sikamikanico;2599622463478870;176068;176278;210;28;0;28
13;Plagueborne;The Wicked Soul;2533274925208344;1689755;1689940;185;26;94;120
14;TheSlickTony;TheSlickTony;2533275010815429;150303;150478;175;24;28;52
15;OneBadMutha;OneBadMutha;2728296738546254;81539;81689;150;22;36;58
16;ShadowlessEdge;ShadowlessAU;2535418358478334;1136482;1136582;100;20;74;94
17;CallMeCraig;matsze;2533274817036922;410227;410307;80;18;6;24
18;dscharles;dscharles;2533275014769270;110285;110330;45;16;62;78
19;MasterLeePhD;Master Lee PhD;2533274793230093;552983;553013;30;14;8;22
19;TheSego;The Sego;2533274801846949;172070;172100;30;14;0;14
21;NierlyCrazy;Nierly Crazy;2533274896685914;642898;642913;15;10;64;74
22;binarymelon;binarymelon;2533274792088847;66746;66756;10;8;4;12
23;TheAshCohen09;TheAshCohen09;2533274856167909;321606;321606;0;0;46;46
23;Colbert;MrZweistein;2533274796780325;187475;187475;0;0;60;60
23;Chyld989;Chyld989;2533274824150207;603385;603385;0;0;64;64
23;RoslindaleOne;RoslindaleOne;2594261035379451;446670;446670;0;0;30;30
23;MMarfil;MMarfil;2533274884719422;116498;116498;0;0;8;8
23;DeusJabu;DeusJabu;2535431624153776;249240;249240;0;0;12;12
23;PhantomFox;PhantomFox75-460;2535436728258152;94060;94060;0;0;10;10
23;BeardoN7x;BeardoA7x;2533274924115209;159639;159639;0;0;8;8
23;APOPHIS1989;APOPHIS1989;2533274792861176;689982;689982;0;0;0;0
23;supercommodore;supercommodore;2533274982646378;43375;43375;0;0;0;0
23;profjjj;profjjj;2533274829351135;174535;174535;0;0;0;0
23;TangHao;Amir-8983;2535432952508207;99137;99137;0;0;0;0
23;Mark3;Mark 3;2533274791777168;199095;199095;0;0;0;0
23;Bugalugs214;bugalugs214;2535471084374195;608755;608755;0;0;0;0
23;BigM_Milk4;BigMMilk-9208;2533274975549845;74224;74224;0;0;0;0
