#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;APOPHIS1989;APOPHIS1989;2533274792861176;617698;625233;7535;50;1170;1220
2;UnveiledArk;UnveiledArk;2533274934249959;550155;552155;2000;48;247;295
3;Chyld989;Chyld989;2533274824150207;570305;572060;1755;46;778;824
4;CallMeCraig;matsze;2533274817036922;371083;372818;1735;44;794;838
5;ShadowlessEdge;Shadowless Edge;2535418358478334;1051941;1052981;1040;42;898;940
5;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;999670;1000710;1040;42;772;814
7;Scottish_Sin;Scottish Sin;2533274798575633;641499;642439;940;38;532;570
8;Akosii;Akosii;2533274876129944;452011;452846;835;36;662;698
9;Knottian;Knottian;2533274805216213;269789;270539;750;34;576;610
10;n0tjack;n0tjack;2533274808155558;263634;264314;680;32;314;346
11;RoslindaleOne;RoslindaleOne;2594261035379451;434985;435510;525;30;462;492
12;Plagueborne;The Wicked Soul;2533274925208344;1489916;1490436;520;28;1036;1064
13;dfunktjester;dFunkt jestEr;2533274829581469;143827;144327;500;26;60;86
14;profjjj;profjjj;2533274829351135;169260;169740;480;24;123;147
15;Mort;Mortaigne;2533274924850886;259983;260278;295;22;736;758
16;SheepDip;Ryuukishi634;2533274841110750;519120;519405;285;20;484;504
17;FairyEmpire;baboy1337;2533274848211122;593721;593996;275;18;521;539
18;FunkyOne;Sir Funkified;2533274831236982;280817;281047;230;16;204;220
19;binarymelon;binarymelon;2533274792088847;58821;59036;215;14;307;321
20;MrZweistein;MrZweistein;2533274796780325;174345;174515;170;12;34;46
21;Bugalugs214;bugalugs214;2535471084374195;603445;603560;115;10;260;270
22;OneBadMutha;OneBadMutha;2728296738546254;76809;76914;105;8;132;140
23;TangHao;Amir-8983;2535432952508207;88997;89087;90;6;10;16
24;dscharles;dscharles;2533275014769270;97155;97235;80;4;171;175
25;BigM_Milk4;BigMMilk-9208;2533274975549845;72474;72534;60;2;230;232
26;DeusJabu;DeusJabu;2535431624153776;236910;236965;55;1;297;298
27;PhantomFox;PhantomFox75-460;2535436728258152;86269;86319;50;1;56;57
28;MasterLeePhD;Master Lee PhD;2533274793230093;518369;518414;45;1;740;741
28;judge;judge;2533274802991000;546389;546434;45;1;438;439
28;TheSlickTony;TheSlickTony;2533275010815429;134413;134458;45;1;91;92
28;Kreten;Cro Kreten;2690766741657668;286018;286063;45;1;33;34
32;low187;ShadowArceus5;2533274870566975;304523;304553;30;1;226;227
33;DanCasual;SR1 Dan;2533274803840524;233626;233646;20;1;98;99
34;SilentJay76;SilentJay76;2533274902322618;503637;503637;0;0;611;611
34;TheAshCohen09;TheAshCohen09;2533274856167909;279901;279901;0;0;609;609
34;NierlyCrazy;Nierly Crazy;2533274896685914;602375;602375;0;0;894;894
34;Sikamikanico;Sikamikanico;2599622463478870;162691;162691;0;0;208;208
34;BeardoN7x;BeardoA7x;2533274924115209;149559;149559;0;0;78;78
34;BrigadiersBlue;Brigadiers Blue;2533274916311937;187935;187935;0;0;504;504
34;TheSego;The Sego;2533274801846949;169910;169910;0;0;14;14
34;Xumbrega;ctZz1;2533274892320729;167344;167344;0;0;35;35
34;Mark3;Mark 3;2533274791777168;195630;195630;0;0;35;35
34;xJavontax;xJavontax;2533274819674251;53833;53833;0;0;5;5
34;Running_Riot;BoutTreeFidy-208;2535457582061110;62290;62290;0;0;33;33
34;MMarfil;MMarfil;2533274884719422;113708;113708;0;0;29;29
34;BadMoodJones;Junglee91;2533275020457265;170571;170571;0;0;109;109
34;BananaBox39;MaidenLOKO;2533274891998560;213683;213683;0;0;2;2
34;Shadowgasm;Shadowgasm;2736338880739054;439560;439560;0;0;75;75
34;Foorbits;Foorbits;2624419068575218;52428;52428;0;0;0;0
34;brunopcosta1;brunopcosta1;2535437287890796;289213;289213;0;0;0;0
34;supercommodore;supercommodore;2533274982646378;42100;42100;0;0;0;0
34;michael;Rngesus37;2535419776788793;50287;50287;0;0;0;0
